日期,收盘价,MA5,MA15,交易信号
2025-08-05,90.0,89.64,89.98,死叉(卖出)
2025-08-18,92.31,90.16,89.74,金叉(买入)
2025-10-16,127.3,129.7,131.05,死叉(卖出)
2025-10-28,132.69,131.27,130.38,金叉(买入)
2025-11-03,120.21,127.73,127.88,死叉(卖出)
2025-12-08,117.2,114.15,114.09,金叉(买入)
2025-12-17,113.29,113.48,114.1,死叉(卖出)
2025-12-23,119.9,116.01,114.97,金叉(买入)
2026-01-15,124.44,125.82,126.01,死叉(卖出)
2026-02-26,116.65,116.42,116.4,金叉(买入)
2026-03-03,108.31,113.72,114.63,死叉(卖出)
2026-04-10,101.01,97.86,97.5,金叉(买入)
2026-06-04,134.88,134.74,135.11,死叉(卖出)
2026-06-18,140.7,132.19,130.93,金叉(买入)
